"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","1,456.50","1,458.50","1,461.00","1,455.50","3.48K","-0.14%"
"12/28/2023","1,458.50","1,456.00","1,461.50","1,455.50","5.90K","0.21%"
"12/27/2023","1,455.50","1,452.50","1,458.00","1,451.00","31.40K","0.21%"
"12/26/2023","1,452.50","1,458.00","1,458.50","1,450.50","9.52K","-0.34%"
"12/22/2023","1,457.50","1,457.00","1,460.00","1,451.50","13.28K","0.07%"
"12/21/2023","1,456.50","1,468.50","1,470.00","1,455.50","9.33K","-0.82%"
"12/20/2023","1,468.50","1,470.00","1,473.50","1,468.00","5.45K","-0.03%"
"12/19/2023","1,469.00","1,469.00","1,470.50","1,466.50","5.22K","-0.03%"
"12/18/2023","1,469.50","1,468.50","1,473.00","1,462.50","6.36K","0.17%"
"12/15/2023","1,467.00","1,459.00","1,469.50","1,458.50","7.62K","0.62%"
"12/14/2023","1,458.00","1,448.50","1,460.00","1,447.50","5.93K","0.69%"
"12/13/2023","1,448.00","1,447.50","1,451.00","1,446.50","3.55K","0.10%"
"12/12/2023","1,446.50","1,446.00","1,452.00","1,445.50","6.00K","0.07%"
"12/11/2023","1,445.50","1,443.50","1,448.00","1,442.00","7.67K","0.28%"
"12/08/2023","1,441.50","1,441.50","1,450.00","1,441.50","6.15K","0.03%"
"12/07/2023","1,441.00","1,445.50","1,449.00","1,441.00","7.15K","-0.31%"
"12/06/2023","1,445.50","1,448.00","1,454.50","1,444.00","6.37K","-0.34%"
"12/05/2023","1,450.50","1,454.00","1,454.00","1,446.00","7.08K","-0.24%"
"12/04/2023","1,454.00","1,461.00","1,463.00","1,453.50","6.55K","-0.48%"
"12/01/2023","1,461.00","1,452.50","1,462.00","1,449.50","9.97K","1.00%"
"11/30/2023","1,446.50","1,449.00","1,449.00","1,442.50","2.13K","-0.10%"
"11/29/2023","1,448.00","1,449.50","1,453.50","1,446.00","6.84K","-0.14%"
"11/28/2023","1,450.00","1,448.00","1,455.00","1,448.00","30.54K","0.21%"
"11/27/2023","1,447.00","1,456.00","1,456.50","1,446.50","20.71K","-0.58%"
"11/24/2023","1,455.50","1,453.00","1,459.00","1,451.50","6.81K","0.14%"
"11/23/2023","1,453.50","1,458.50","1,461.00","1,451.00","6.71K","-0.31%"
"11/22/2023","1,458.00","1,465.00","1,466.50","1,456.00","6.77K","-0.48%"
"11/21/2023","1,465.00","1,456.50","1,467.00","1,456.50","6.61K","0.55%"
"11/20/2023","1,457.00","1,461.00","1,463.50","1,456.00","4.48K","-0.31%"
"11/17/2023","1,461.50","1,464.50","1,466.50","1,458.00","4.10K","-0.24%"
"11/16/2023","1,465.00","1,469.00","1,470.00","1,460.00","7.32K","-0.24%"
"11/15/2023","1,468.50","1,453.50","1,470.50","1,452.50","12.18K","0.96%"
"11/14/2023","1,454.50","1,445.50","1,457.50","1,445.50","8.78K","0.94%"
"11/10/2023","1,441.00","1,451.00","1,452.50","1,439.00","7.45K","-0.72%"
"11/09/2023","1,451.50","1,458.50","1,461.00","1,451.00","6.56K","-0.41%"
"11/08/2023","1,457.50","1,463.00","1,466.00","1,454.50","5.95K","-0.38%"
"11/07/2023","1,463.00","1,468.00","1,474.00","1,461.50","8.06K","-0.37%"
"11/06/2023","1,468.50","1,459.00","1,469.00","1,457.00","10.10K","0.93%"
"11/03/2023","1,455.00","1,443.50","1,460.00","1,443.00","11.14K","0.87%"
"11/02/2023","1,442.50","1,435.00","1,443.00","1,435.00","5.78K","0.59%"
"11/01/2023","1,434.00","1,439.00","1,443.50","1,433.00","6.36K","-0.62%"
"10/31/2023","1,443.00","1,441.00","1,443.50","1,438.00","3.62K","0.07%"
"10/30/2023","1,442.00","1,438.00","1,443.00","1,438.00","9.98K","0.03%"
"10/27/2023","1,441.50","1,439.50","1,445.50","1,436.00","36.63K","0.17%"
"10/26/2023","1,439.00","1,438.50","1,441.50","1,434.50","24.21K","0.03%"
