Date,Price,Open,High,Low,Vol.,Change %
11/11/24,"5,196.00","5,076.00","5,202.00","5,058.00",40.63K,1.86%
11/8/24,"5,101.00","4,970.00","5,104.00","4,965.00",55.26K,3.01%
11/7/24,"4,952.00","4,898.00","5,014.00","4,867.00",50.23K,0.71%
11/6/24,"4,917.00","4,809.00","4,924.00","4,780.00",42.74K,2.31%
11/5/24,"4,806.00","4,878.00","4,889.00","4,784.00",39.37K,-1.74%
11/4/24,"4,891.00","4,842.00","4,911.00","4,825.00",32.60K,0.47%
11/1/24,"4,868.00","4,764.00","4,879.00","4,745.00",38.33K,3.66%
10/30/24,"4,696.00","4,628.00","4,702.00","4,592.00",45.21K,1.27%
10/29/24,"4,637.00","4,529.00","4,659.00","4,523.00",43.82K,2.38%
10/28/24,"4,529.00","4,502.00","4,589.00","4,482.00",31.17K,-0.15%
10/25/24,"4,536.00","4,590.00","4,660.00","4,518.00",49.41K,-1.46%
10/24/24,"4,603.00","4,478.00","4,610.00","4,451.00",44.18K,2.61%
10/23/24,"4,486.00","4,397.00","4,514.00","4,384.00",48.33K,2.28%
10/22/24,"4,386.00","4,301.00","4,389.00","4,290.00",39.79K,2.02%
10/21/24,"4,299.00","4,230.00","4,313.00","4,230.00",28.78K,1.03%
10/18/24,"4,255.00","4,283.00","4,378.00","4,230.00",50.74K,-0.54%
10/17/24,"4,278.00","4,319.00","4,335.00","4,258.00",47.75K,-0.77%
10/16/24,"4,311.00","4,233.00","4,333.00","4,226.00",48.47K,0.91%
10/15/24,"4,272.00","4,300.00","4,321.00","4,236.00",38.58K,-0.95%
10/14/24,"4,313.00","4,293.00","4,404.00","4,289.00",40.08K,-0.85%
10/11/24,"4,350.00","4,240.00","4,352.00","4,239.00",47.49K,2.76%
10/10/24,"4,233.00","4,236.00","4,285.00","4,187.00",43.68K,-0.45%
10/9/24,"4,252.00","4,276.00","4,302.00","4,194.00",42.19K,-0.44%
10/8/24,"4,271.00","4,337.00","4,408.00","4,241.00",52.84K,-1.66%
10/7/24,"4,343.00","4,252.00","4,349.00","4,247.00",32.38K,1.00%
10/4/24,"4,300.00","4,190.00","4,350.00","4,175.00",45.63K,2.82%
10/3/24,"4,182.00","4,177.00","4,229.00","4,121.00",51.24K,-0.33%
10/2/24,"4,196.00","4,000.00","4,198.00","4,000.00",55.83K,4.74%
10/1/24,"4,006.00","4,017.00","4,046.00","3,994.00",29.21K,0.28%
9/30/24,"3,995.00","4,042.00","4,064.00","3,987.00",29.57K,-1.38%
9/27/24,"4,051.00","4,158.00","4,199.00","4,030.00",54.47K,-2.43%
9/26/24,"4,152.00","4,037.00","4,155.00","4,029.00",43.64K,2.70%
9/25/24,"4,043.00","4,003.00","4,069.00","3,990.00",41.91K,1.38%
9/24/24,"3,988.00","3,984.00","4,022.00","3,952.00",34.58K,0.28%
9/23/24,"3,977.00","3,984.00","4,040.00","3,961.00",39.91K,0.76%
9/20/24,"3,947.00","3,899.00","3,950.00","3,879.00",30.07K,1.83%
9/19/24,"3,876.00","3,844.00","3,967.00","3,819.00",60.54K,0.81%
9/18/24,"3,845.00","3,741.00","3,856.00","3,738.00",29.09K,2.92%
9/17/24,"3,736.00","3,719.00","3,760.00","3,702.00",28.51K,-2.05%
9/13/24,"3,814.00","3,857.00","3,904.00","3,806.00",51.88K,-0.99%
9/12/24,"3,852.00","3,899.00","3,899.00","3,830.00",43.54K,-1.26%
9/11/24,"3,901.00","3,894.00","3,951.00","3,858.00",39.52K,0.41%
9/10/24,"3,885.00","3,898.00","3,914.00","3,868.00",32.78K,-0.26%
9/9/24,"3,895.00","3,885.00","3,901.00","3,855.00",23.56K,-0.08%
9/6/24,"3,898.00","3,914.00","3,950.00","3,884.00",30.63K,-0.49%
9/5/24,"3,917.00","3,881.00","3,925.00","3,849.00",28.13K,0.80%
9/4/24,"3,886.00","3,941.00","3,955.00","3,866.00",34.83K,-1.14%
9/3/24,"3,931.00","3,929.00","3,990.00","3,910.00",34.51K,-0.05%
9/2/24,"3,933.00","3,924.00","3,947.00","3,901.00",22.99K,-1.11%
8/30/24,"3,977.00","3,944.00","4,003.00","3,932.00",30.59K,0.94%
8/29/24,"3,940.00","3,907.00","3,950.00","3,872.00",31.70K,0.51%
8/28/24,"3,920.00","3,930.00","3,942.00","3,903.00",34.13K,-0.08%
8/27/24,"3,923.00","3,935.00","3,979.00","3,918.00",43.38K,-0.03%
8/26/24,"3,924.00","3,878.00","3,990.00","3,868.00",40.36K,1.47%
8/23/24,"3,867.00","3,822.00","3,880.00","3,794.00",32.85K,1.07%
8/22/24,"3,826.00","3,762.00","3,828.00","3,741.00",42.64K,1.92%
8/21/24,"3,754.00","3,714.00","3,776.00","3,714.00",29.90K,1.05%
8/20/24,"3,715.00","3,711.00","3,741.00","3,698.00",28.37K,-0.16%
8/19/24,"3,721.00","3,703.00","3,733.00","3,663.00",28.61K,1.09%
8/16/24,"3,681.00","3,688.00","3,734.00","3,672.00",25.98K,-1.94%
8/15/24,"3,754.00","3,719.00","3,761.00","3,714.00",25.25K,0.83%
8/14/24,"3,723.00","3,700.00","3,730.00","3,638.00",32.31K,0.89%
8/13/24,"3,690.00","3,719.00","3,732.00","3,674.00",28.07K,-0.49%
8/12/24,"3,708.00","3,712.00","3,745.00","3,698.00",24.77K,-1.04%
8/9/24,"3,747.00","3,711.00","3,767.00","3,709.00",29.24K,1.16%
8/8/24,"3,704.00","3,730.00","3,752.00","3,670.00",34.50K,0.19%
8/7/24,"3,697.00","3,702.00","3,749.00","3,679.00",37.94K,-0.22%
8/6/24,"3,705.00","3,792.00","3,799.00","3,700.00",48.41K,-2.17%
